comment_id,comment_text,brand,search_term,source,additional_info
7272042438201180970,Please keep in mind the marketing packaging retai employee Benefits etc that go in to the price of designer jewelry. (Cont..),Cartier,price,TikTok,"{ likes: 2, date: '2023-08-27 16:39:08'}"
7272046269769990958,I love mine,Cartier,love,TikTok,"{ likes: 1, date: '2023-08-27 16:53:54'}"
7272052612496196385,Amelia’s energy is just so good each time . Wether it’s on YouTube or Tiktok she’s always giving besties vibes and I’m all for it ♥️✨✨✨✨✨,Dior,best,TikTok,"{ likes: 23, date: '2023-08-27 17:18:33'}"
7272069348327408392,Dior has the worst leather quality. I bought grey lady dior in italy and its edges were scratched in two days I swear. I was shocked when I saw them(,Dior,quality,TikTok,"{ likes: 0, date: '2023-08-27 18:23:35'}"
7272072631435969285,Its not about how popular or a lot people wearing its how you wear it and style to make it look different from others😊,Uniqlo,popular,TikTok,"{ likes: 48, date: '2023-08-27 18:36:15'}"
7272083170459206432,price? (I'm a dude),Nike,price,TikTok,"{ likes: 0, date: '2023-08-27 19:17:21'}"
7272089423742698245,love the book tote,Dior,love,TikTok,"{ likes: 1, date: '2023-08-27 19:41:23'}"
7272101122478244650,yea if I had that jacket it wouldn't move like at all 😭,Lululemon,like,TikTok,"{ likes: 1, date: '2023-08-27 20:26:47'}"
7272119246377190177,you sound like taco carlier,Uniqlo,like,TikTok,"{ likes: 0, date: '2023-08-27 21:37:29'}"
7272132804614898475,My mom got one with a similar design at a jeweler and got my baby one to match for a fraction of the price,Cartier,price,TikTok,"{ likes: 2, date: '2023-08-27 22:29:43'}"
7272160044404851502,It’s so beautiful I love this bag sooooo much😁😁😁,Prada,love,TikTok,"{ likes: 2, date: '2023-08-28 00:15:19'}"
7272184726658941738,Ma’am that’s like saying why buy Gucci if you can buy MK lol,Cartier,like,TikTok,"{ likes: 1, date: '2023-08-28 01:51:06'}"
7272221250901705504,still not worth it,Hermes,worth,TikTok,"{ likes: 0, date: '2023-08-28 04:16:09'}"
7272263291124056875,That much money and the pump is cheap. Smh,Cartier,cheap,TikTok,"{ likes: 1, date: '2023-08-28 06:57:00'}"
7272264636157264672,I love the caro bag too 🫶🏻I got the medium version and she is sooo huge 👌🏻 and the calfleather 🫶🏻,Dior,love,TikTok,"{ likes: 0, date: '2023-08-28 07:02:07'}"
7272306538803888942,I love my d joy so much!!,Dior,love,TikTok,"{ likes: 0, date: '2023-08-28 09:45:34'}"
7272307359228592939,Do you guys recommend these of the panda dunks,Nike,recommend,TikTok,"{ likes: 0, date: '2023-08-28 09:48:19'}"
7272352196737172225,getting w my besties tmr! 😍🤑,Louis Vuitton,best,TikTok,"{ likes: 0, date: '2023-08-28 12:40:59'}"
7272359933349249798,I love your bag reviews !!!!,Dior,love,TikTok,"{ likes: 0, date: '2023-08-28 13:11:04'}"
