comment_text,brand,search_term,source,additional_info
"You could try cutting it a little shorter because it might look better shorter",Zara,better,TikTok,"{ likes: 0, date: '2022-07-15 16:29:06'}"
"I really like it 😊it looks good on you",Zara,like,TikTok,"{ likes: 0, date: '2022-07-15 16:45:20'}"
"I love the way it looks on you!! -you’re so beautiful 💕💕💕",Zara,love,TikTok,"{ likes: 1, date: '2022-07-15 16:45:37'}"
"I love ittt🥰",Zara,love,TikTok,"{ likes: 0, date: '2022-07-15 17:05:00'}"
"I’m in love with it on you!!",Zara,love,TikTok,"{ likes: 0, date: '2022-07-15 17:10:35'}"
"I love it its looks good on you and it complements you so good❤.",Zara,love,TikTok,"{ likes: 0, date: '2022-07-15 17:30:14'}"
"I love it on you omgggggg stunning 🤩",Zara,love,TikTok,"{ likes: 0, date: '2022-07-15 17:35:32'}"
"i think it looks amazing but if ur not comfortable pls return it",Zara,comfortable,TikTok,"{ likes: 0, date: '2022-07-15 17:42:41'}"
"but the color looks good on you. 🥺🥺🥺",Zara,color,TikTok,"{ likes: 0, date: '2022-07-15 18:29:45'}"
"Looks like a night gown",Zara,like,TikTok,"{ likes: 0, date: '2022-07-15 18:30:19'}"
"i love it 😭🫶🏻",Zara,love,TikTok,"{ likes: 1, date: '2022-07-15 20:42:17'}"
"it's looks good on you and the color 😍😍",Zara,color,TikTok,"{ likes: 0, date: '2022-07-15 20:58:05'}"
"I FUCKING LOVE IT",Zara,love,TikTok,"{ likes: 0, date: '2022-07-16 13:50:46'}"
"I love it! I think it looks great the top of the dress is giving Bridgerton 🥰",Zara,love,TikTok,"{ likes: 0, date: '2022-07-16 17:58:29'}"
"Looks so good! I love ❤️",Zara,love,TikTok,"{ likes: 0, date: '2022-07-16 23:22:22'}"
"Umm first off that color on you is amazing. Also it looks so good! You need to give it a chance. You look good!!!",Zara,color,TikTok,"{ likes: 8, date: '2022-07-17 01:59:51'}"
"Lv so much better than fillyHermes",Louis Vuitton,better,TikTok,"{ likes: 2, date: '2022-07-17 14:52:25'}"
