,Brand,Search,Comments,Source,Additional info
267,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+Loved the show , clever staging. Really was able to see the clothing for more than the traditional 3 minute catwalk. Tailoring and fabrics were beautiful.",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
268,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Eunwoo te amo,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
269,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+They’re trolling bro, what’s with the overcoat, shorts, and Birkenstocks. It just fails at having a silhouette",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
270,Dior,fast fashion,"The Dior Men’s Summer 2024 Show+Cha Eun Woo es Cha Eun Woo  en toda la extensión de la palabra, sin duda alguna el príncipe de Dior, lo estás haciendo bien Nunu  Fighting",https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
271,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Cha Eun Woo's wearing pieces is killin' it  He's looking perfect in every angle. Such a gorgeous,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
272,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Que hombre tan más perfecto  chaeunwoo es bellísimo,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
273,Dior,fast fashion,The Dior Men’s Summer 2024 Show+Make copy of great and handsome looking,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
274,Dior,fast fashion,The Dior Men’s Summer 2024 Show+ChaEunWoo. La perfección en persona pero lo que más amo de el es su sencilles y humildad. ️️️️️️,https://www.youtube.com//watch?v=ZJ7PaOLl49w&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
275,Dior,fast fashion,Three ways Dior changed fashion forever - BBC News+All the works are very classic . The reach of this brand is only because of this royalitic history.,https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
276,Dior,fast fashion,Three ways Dior changed fashion forever - BBC News+I think that Christian Dior changed nothing. His fashion design style after the WWII was actually very conservative compared to the 20´s and the 30´s fashion styles. Like he would have wanted to return back to the 19th century and to force women return with him too. Coco Chanel then was much more interesting and her fashion design style really created something modern way new.,https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
277,Dior,fast fashion,"Three ways Dior changed fashion forever - BBC News+Ended a bit funny, thanks though!",https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
278,Dior,fast fashion,Three ways Dior changed fashion forever - BBC News+The Dior full skirt marked the end of WWII fabric rations and introduced the western women’s silhouette of the 1950’s.,https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
281,Dior,fast fashion,"Three ways Dior changed fashion forever - BBC News+Oh well,  at least the bbc is reporting something from France,  unfortunately it's the yellow dress,  should be the yellow vests.",https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
282,Dior,fast fashion,Three ways Dior changed fashion forever - BBC News+Why now why not chanel and why are you guys so weird,https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
283,Dior,fast fashion,Three ways Dior changed fashion forever - BBC News+Fashion sketch is nice. I am interested in fashion.,https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
285,Dior,fast fashion,Three ways Dior changed fashion forever - BBC News+No wonder people slum out in track suites.,https://www.youtube.com//watch?v=8sZb8Rv6Oqw&pp=ygUSRGlvciBmYXN0IGZhc2hpb24g,
